my_id,name
1,Ханты-Мансийский Автономный округ - Югра
2,Ханты-Мансийский Автономный округ - Югра
3,Ханты-Мансийский Автономный округ - Югра
4,Ханты-Мансийский Автономный округ - Югра
5,Ханты-Мансийский Автономный округ - Югра
6,Ханты-Мансийский Автономный округ - Югра
7,Ханты-Мансийский Автономный округ - Югра
8,Ханты-Мансийский Автономный округ - Югра
9,Ханты-Мансийский Автономный округ - Югра
10,Ханты-Мансийский Автономный округ - Югра
11,Ханты-Мансийский Автономный округ - Югра
12,Ханты-Мансийский Автономный округ - Югра
13,Ханты-Мансийский Автономный округ - Югра
14,Ханты-Мансийский Автономный округ - Югра
15,Ханты-Мансийский Автономный округ - Югра
16,Ханты-Мансийский Автономный округ - Югра
17,Ямало-Ненецкий
18,Ямало-Ненецкий
19,Ямало-Ненецкий
20,Ямало-Ненецкий
21,Ямало-Ненецкий
22,Ямало-Ненецкий
23,Ямало-Ненецкий
24,Ямало-Ненецкий
